exchange_name,exchange_id
Binance,1
Bitfinex,2
OKX(OKEx),3
Coincheck,4
Crypto.com Exchange,5
Bybit,6
Bittrex,7
Huobi Global,8
Poloniex,9
KuCoin,10
BitMEX,11
Bitget,12
Kraken,13
Korbit,14
BigONE,15
MEXC Global,16
Phemex,17
CoinSwitch,18
Jubi,19
Bitstamp,20
BitZ,21
CITEX,22
XT,23
WOO X,24
Coinw,25
ZG.com,26
Coinbase Pro,27
Klickl(IDCM),28
AEX,29
BKEX,30
Gemini,31
Bithumb,32
gate.io,33
Coinone,34
bitFlyer,35
Binance.US,36
Luno,37
IDEX,38
Curve,39
YoBit,40
Indodax,41
Okcoin,42
Coinlist Pro,43
AscendEX,44
WhiteBIT,45
Kuna,46
CoinEx,47
CoinExchange,48
Binance JEX,49
Hotbit,50
CREX24,51
OTCBTC,52
CEX.IO,53
Bitrue,54
Remitano,55
ProBit Global,56
HitBTC,57
ZT,58
BitMart,59
FTX,60
WazirX,61
LATOKEN,62
0,63
Bilaxy,64
BTSE,65
FTX US,66
Exmo,67
Bibox,68
ZB,69
