TICKER_ID,PRICE_USD,MARKET_CAP_USD,VOLUME_USD,ONE_DAY_LOW_USD,ONE_DAY_HIGH_USD,MARKET_DOMINANCE_PERCENT,PRICE_CHANGE_USD
10001,20414.69,3.94E+11,6297828806,20065.34,20535.46,0.4008,267.92
10002,1460.98,1.79E+11,4085407711,1429.22,1477.38,0.1817,26.95
10003,1.01,72635948967,12863544876,1,1.01,0.0738,0.01
10004,275.15,43444185760,279219432,271.6,278.45,0.0441,0.99
10005,0.96,38927636057,3670430628,0.93,0.98,0.0396,0.03
10006,0.36,18133429918,469204971,0.35,0.37,0.0184,-0.01
10007,0.3,10564718680,163937506,0.3,0.31,0.0107,0
10008,39.22,9869665313,24323188,38.3,40.54,0.01,0.81
10009,1.09,9640321130,316060153,1.01,1.09,0.0098,0.07
10010,0.07,8737696536,140772517,0.06,0.07,0.0089,0
10011,1,8335719552,3320019240,0.99,1,0.0085,0
10012,5.42,6953886443,107103953,5.25,5.51,0.0071,0.11
10013,17.97,6885098393,264997907,17.12,18.28,0.007,0.57
10014,0.97,6276304200,239704946,0.95,0.99,0.0064,0.01
10015,0,5973272481,118616345,0,0,0.0061,0
10016,20757.72,5918109002,84206050,20590.28,20843.62,0.006,4.15
10017,0.06,5417870502,151677775,0.06,0.06,0.0055,0
10018,68.26,4946582570,366529772,66.82,69.82,0.005,1.11
10019,14.44,4699576538,71987187,14,14.57,0.0048,0.26
10020,5.43,4140778389,50864602,5.28,5.5,0.0042,0.04
10021,3.62,3453981718,563284,3.42,3.69,0.0035,0.17
10022,11.21,3278427956,76119077,10.62,11.26,0.0033,0.43
10023,6.13,3168478356,115502290,5.96,6.2,0.0032,0.1
10024,2.24,2732640862,14583773,2.21,2.27,0.0028,0.01
10025,143.53,2619625738,61273593,136.83,144.37,0.0027,6.9
10026,16.95,2371947111,70624905,16.69,17.26,0.0024,0.09
10027,112.68,2178679744,108562312,108.7,114.4,0.0022,3.45
10028,0.08,2091687362,40955103,0.08,0.08,0.0021,0
10029,4.88,2032158368,132460699,4.72,5.03,0.0021,0.07
10030,0.99,1963218596,39521656,0.99,1,0.002,0
10031,2.07,1768578919,92520482,2,2.15,0.0018,-0.04
10032,0.06,1620016016,11993589,0.06,0.07,0.0016,0
10033,0.06,1605977570,17318801,0.06,0.06,0.0016,0
10034,1.8,1555027359,53002772,1.7,1.83,0.0016,0.07
10035,0.02,1465160224,21355791,0.02,0.02,0.0015,0
10036,118.52,1430860907,12168935,113.33,119.75,0.0015,2.73
10037,4.68,1386168082,18587541,4.56,4.76,0.0014,0.03
10038,10.29,1337440000,159316256,10.01,10.52,0.0014,0.1
10039,0.19,1332841791,30237336,0.18,0.19,0.0014,0
10040,3.88,1173942000,41993606,3.64,3.91,0.0012,0.17
10041,0.97,1050123349,88770058,0.97,1,0.0011,0
10042,0.11,1003787130,19642340,0.11,0.11,0.001,0
10043,0.47,987135686,6526517,0.47,0.48,0.001,0
10044,38.48,966538789,15311431,36.49,38.63,0.001,1.39
10045,0.51,955000379,27498287,0.5,0.52,0.001,0.01
10046,66.55,937856895,27658393,64.17,67.71,0.001,1.14
10047,0.33,927635587,72611930,0.31,0.34,0.0009,0.02
10048,0.98,912576237,12065329,0.96,1,0.0009,-0.01
10049,0.9,900800000,6196457,0.86,0.91,0.0009,0.02
10050,0.86,892168200,11944023,0.84,0.88,0.0009,0
10051,1,875801046,37186017,0.94,1,0.0009,0.02
10052,7.18,817635577,19032986,7.05,7.35,0.0008,0.03
10053,8.28,807761247,866227,8.16,8.32,0.0008,0.06
10054,0.58,792893450,94242343,0.58,0.62,0.0008,-0.01
10055,0.52,783323184,50688419,0.51,0.53,0.0008,0
10056,0.11,726401083,19328486,0.11,0.11,0.0007,0
10057,0,710628074,28469361,0,0,0.0007,0
10058,0.79,688526152,15959932,0.76,0.83,0.0007,-0.01
10059,0.22,675683576,23600473,0.21,0.23,0.0007,0.01
10060,672.1,657065795,90957409,659.29,732.41,0.0007,-10.4
10061,3.49,656389665,7531652,3.45,3.52,0.0007,0.02
10062,9.28,654304088,21743116,9.16,9.62,0.0007,-0.04
10063,33.65,645614528,5680291,31.03,34.48,0.0007,1.76
10064,0.86,642112276,36747491,0.79,0.86,0.0007,0.05
10065,3.83,622213775,17767148,3.69,4.07,0.0006,-0.09
10066,32.99,620972347,15081228,32.14,33.75,0.0006,0.47
10067,1,607596227,2391755,0.97,1.01,0.0006,0.01
10068,1.86,587058385,153284611,1.77,1.93,0.0006,0.02
10069,0,575178857,8964352,0,0,0.0006,0
10070,0.63,547241951,31660125,0.58,0.64,0.0006,0.04
10071,7.28,542494634,33132643,6.88,7.85,0.0005,0.17
10072,2.14,542603072,26762032,2,2.22,0.0005,0.09
10073,0.19,531724143,6848829,0.18,0.2,0.0005,0.01
10074,4.54,523757598,500604,4.43,4.61,0.0005,0.09
10075,1917.47,520140582,22815815,1897.01,1972.56,0.0005,-30.23
10076,0.98,518006188,26323803,0.92,1,0.0005,0.03
10077,46.56,517732024,50885385,45.59,47.05,0.0005,0.35
10078,1.24,516395886,34301001,1.1,1.28,0.0005,0.12
10079,0,514979629,3039984,0,0,0.0005,0
10080,59.97,512116734,29134356,57.87,61.7,0.0005,0.66
10081,31.18,509143185,20437032,30.39,31.49,0.0005,0.59
10082,0.8,423694258,2143355,0.76,0.8,0.0004,0.03
10083,0.32,405108104,83191459,0.29,0.33,0.0004,0.01
10084,0.03,402112732,756517,0.03,0.03,0.0004,0
10085,1.21,401488374,11405143,1.17,1.23,0.0004,0.03
10086,0.15,389045335,96675273,0.13,0.15,0.0004,0
10087,0.94,384970256,52408027,0.86,0.94,0.0004,0.05
10088,0.03,375095719,7178923,0.03,0.03,0.0004,0
10089,4.95,373191715,3261860,4.81,5.04,0.0004,0.07
10090,0.27,364190564,10732914,0.26,0.28,0.0004,0.01
10091,0.44,363877473,8914406,0.43,0.44,0.0004,0
10092,1.46,359167405,7520020,1.42,1.58,0.0004,-0.03
10093,0.35,353400000,9175369,0.33,0.36,0.0004,0.01
10094,0.02,353278460,19071821,0.02,0.02,0.0004,0
10095,3.17,340963287,4234056,3.09,3.22,0.0003,0.03
10096,1.04,340472219,3484697,1,1.04,0.0003,0.02
10097,0.58,323064006,3058157,0.56,0.59,0.0003,0.02
10098,0.03,314360000,7917754,0.03,0.03,0.0003,0
10099,30.98,309790000,29545113,28.77,33.2,0.0003,1.24
10100,0.21,307549619,10668399,0.2,0.21,0.0003,0
