whitepaper_id,title,release_date,TICKER_ID,File Size (MB),Number of Pages,Word Count,Flesch Reading Ease,New Dale-Chall,Abstract Section,Summary Section,Reference Section
10000001,,,10001,0.1757545471191406,9.0,3550.0,60.45,7.77,True,False,True
10000002,,,10002,0.4504365921020508,32.0,21712.0,54.76,6.96,True,False,True
10000003,,,10003,0.5008430480957031,20.0,5717.0,40.79,7.56,True,False,True
10000004,,,10006,0.2815847396850586,8.0,4953.0,47.52,7.48,True,False,True
10000005,,,10007,0.5321331024169922,40.0,17621.0,58.21,6.38,True,True,True
10000006,,,10009,2.538990020751953,16.0,0.0,206.84,0.0,False,False,False
10000007,,,10010,0.3034505844116211,5.0,967.0,46.47,9.4,False,False,False
10000008,,,10012,3.8873329162597656,21.0,20059.0,47.83,7.07,True,True,True
10000009,,,10013,0.7081527709960938,32.0,7684.0,50.77,6.84,True,False,True
10000010,,,10014,0.285862922668457,21.0,6074.0,46.81,7.08,False,False,False
10000011,,,10017,0.6050634384155273,40.0,7980.0,56.55,6.98,False,False,False
10000012,,,10018,0.4109334945678711,4.0,1332.0,63.7,8.25,False,False,False
10000013,,,10019,0.4733343124389648,18.0,16000.0,53.92,6.95,True,False,False
10000014,,,10020,1.4282751083374023,9.0,6681.0,59.84,6.85,False,False,False
10000015,,,10022,2.195253372192383,53.0,11881.0,48.94,7.1,False,False,False
10000016,,,10023,0.7006311416625977,38.0,13760.0,46.17,7.04,True,False,True
10000017,,,10025,0.4378528594970703,20.0,7951.0,54.32,7.61,False,False,True
10000018,,,10028,2.8631067276000977,31.0,5143.0,51.58,7.7,False,True,False
10000019,,,10030,2.4124488830566406,8.0,1790.0,38.76,9.48,False,True,False
10000020,,,10036,1.731064796447754,48.0,19010.0,53.31,6.25,True,False,True
10000021,,,10039,0.6402416229248047,75.0,40365.0,67.49,5.6,True,True,True
10000022,,,10041,0.7709140777587891,8.0,6711.0,50.77,7.94,True,False,False
10000023,,,10045,4.345456123352051,15.0,3978.0,45.35,7.99,True,True,True
10000024,,,10046,0.5610980987548828,22.0,5115.0,51.68,7.05,True,False,False
10000025,,,10047,0.8346900939941406,44.0,13834.0,63.7,6.09,True,False,True
10000026,,,10048,0.1989574432373047,17.0,6805.0,62.78,7.33,True,False,True
10000027,,,10056,3.777490615844727,66.0,11777.0,44.03,7.3,False,False,False
10000028,,,10059,2.295329093933105,40.0,15803.0,36.83,7.16,False,False,False
10000029,,,10060,0.285862922668457,21.0,6074.0,46.81,7.08,False,False,False
10000030,,,10062,0.0686912536621093,9.0,2606.0,41.6,8.24,False,True,False
10000031,,,10066,0.1757545471191406,9.0,3550.0,60.45,7.77,True,False,True
10000032,,,10073,0.3612260818481445,28.0,10454.0,59.43,6.64,True,False,True
10000033,,,10077,1.749730110168457,13.0,47.0,-5.52,13.08,False,False,False
10000034,,,10081,0.8188753128051758,56.0,34026.0,52.8,5.98,True,False,True
10000035,,,10083,1.3594884872436523,53.0,20195.0,39.77,7.01,True,False,True
10000036,,,10085,0.1611480712890625,9.0,4520.0,50.57,7.42,True,False,True
10000037,,,10090,0.6297998428344727,15.0,10160.0,52.39,7.17,True,True,True
10000038,,,10094,0.3047981262207031,14.0,11880.0,61.67,6.54,True,False,True
10000039,,,10097,6.4637556076049805,44.0,8322.0,-247.18,21.56,False,True,True
